,file,iteration,threshhold,improvement (%)
0,c202C16.csv,8.0,-1,-2.7647070204787627
1,c202C16.csv,2.0,-5,-12.373489111685421
2,c202C16.csv,2.0,-10,-12.373489111685421
3,lc102.csv,42.0,-1,-3.3923154555114743
4,lc102.csv,3.0,-5,-23.368531909061996
5,lc102.csv,3.0,-10,-23.368531909061996
6,lc108.csv,74.0,-1,-1.244347322748507
7,lc108.csv,8.0,-5,-9.46177668676662
8,lc108.csv,5.0,-10,-15.574748984703179
9,lc207.csv,65.0,-1,-2.8234846447660056
10,lc207.csv,8.0,-5,-7.079374117451276
11,lc207.csv,2.0,-10,-37.22623868262937
12,lr112.csv,64.0,-1,-1.33166512657642
13,lr112.csv,20.0,-5,-6.163465413912894
14,lr112.csv,2.0,-10,-34.529271208681244
15,lr205.csv,25.0,-1,-1.4142085831109652
16,lr205.csv,9.0,-5,-13.631868835192062
17,lr205.csv,9.0,-10,-13.631868835192062
18,lrc104.csv,75.0,-1,-1.0212984056054975
19,lrc104.csv,1.0,-5,-28.389022482156236
20,lrc104.csv,1.0,-10,-28.389022482156236
21,lrc206.csv,79.0,-1,-1.0193892224798828
22,lrc206.csv,22.0,-5,-6.659458862741752
23,lrc206.csv,5.0,-10,-35.694877286872575
24,r102C18.csv,73.0,-1,-1.7186187117847362
25,r102C18.csv,2.0,-5,-12.993211595066645
26,r102C18.csv,2.0,-10,-12.993211595066645
27,rc204C16.csv,29.0,-1,-9.056690098426168
28,rc204C16.csv,29.0,-5,-9.056690098426168
29,rc204C16.csv,,-10,
