Itterations,Cost
0,1885.861942360734
1,1246.641008634621
2,1108.0196009730068
3,1108.0196009730068
4,1108.0196009730068
5,1084.2209321501355
6,1084.2209321501355
7,1084.2209321501355
8,1084.2209321501355
9,1084.2209321501355
10,1066.017933106236
11,1066.017933106236
12,1066.017933106236
13,1066.017933106236
14,1066.017933106236
15,1066.017933106236
16,1066.017933106236
17,1066.017933106236
18,1066.017933106236
19,1066.017933106236
20,1066.017933106236
21,1066.017933106236
22,1066.017933106236
23,1066.017933106236
24,1066.017933106236
25,1066.017933106236
26,1066.017933106236
27,1066.017933106236
28,1066.017933106236
29,1066.017933106236
30,1066.017933106236
31,1066.017933106236
32,1066.017933106236
33,1066.017933106236
34,1066.017933106236
35,1066.017933106236
36,1066.017933106236
37,1066.017933106236
38,1066.017933106236
39,1066.017933106236
40,1066.017933106236
41,1066.017933106236
42,1066.017933106236
43,1066.017933106236
44,1066.017933106236
45,1066.017933106236
46,1066.017933106236
47,1066.017933106236
48,1066.0179331062357
49,1066.0179331062357
50,1066.0179331062357
51,1066.0179331062357
52,1066.0179331062357
53,1066.0179331062357
54,1066.0179331062357
55,1066.0179331062357
56,1066.0179331062357
57,1066.0179331062357
58,1066.0179331062357
59,1066.0179331062357
60,1066.0179331062357
61,1066.0179331062357
62,1066.0179331062357
63,1066.0179331062357
64,1066.0179331062357
65,1066.0179331062357
66,1066.0179331062357
67,1066.0179331062357
68,1066.0179331062357
69,1066.0179331062357
70,1057.8644611476054
71,1057.8644611476054
72,1057.8644611476054
73,1057.8644611476054
74,1055.9138618140703
75,1055.9138618140703
76,1055.9138618140703
77,1055.9138618140703
78,1055.9138618140703
79,1055.9138618140703
80,1055.9138618140703
81,1055.9138618140703
82,1055.9138618140703
83,1055.9138618140703
84,1055.9138618140703
85,1055.9138618140703
86,1055.9138618140703
87,1055.9138618140703
88,1055.9138618140703
89,1055.9138618140703
90,1055.9138618140703
91,1055.9138618140703
92,1055.9138618140703
93,1055.9138618140703
94,1055.9138618140703
95,1055.9138618140703
96,1055.9138618140703
97,1055.9138618140703
98,1055.9138618140703
99,1055.9138618140703
