Itterations,Cost
0,1640.0638053173468
1,1464.622794113968
2,2343.120019277161
3,1485.8854873500734
4,1601.734235326753
5,1497.5551388680105
6,1528.3284007301315
7,2225.4754376947158
8,1652.7237388489414
9,1530.136338007366
10,1542.9718491781678
11,2361.8549159735257
12,2597.922578344051
13,1557.6918273449903
14,1646.874538970198
15,1371.4259087077949
16,1399.2507867216946
17,1868.862495012383
18,1351.4596728382926
19,1351.4596728382924
20,1413.4364800061996
21,1522.7610999006733
22,2099.0820672670843
23,1455.2213179899686
24,1362.8070168562733
25,1436.2755277262336
26,1351.4596728382924
27,1784.7519328914468
28,1382.0028381360062
29,1341.9193412862287
30,1405.8232636149196
31,1415.4389907941131
32,1363.205993126418
33,1416.5809762215051
34,1404.9218121603215
35,2329.6468662347056
36,1373.4092815196025
37,1732.9251779672268
38,1406.2563562746018
39,1370.241271542988
40,2240.8123794760018
41,1322.212719566135
42,1438.4463414847296
43,1705.828556302822
44,1903.5051037866383
45,1988.8254250083173
46,1318.5638549090518
47,1471.0958218066953
48,1569.0878180778222
49,1671.0227872916919
50,1935.001520289195
51,1952.5694676724793
52,1464.5589153767924
53,1319.2093214748154
54,1361.7086883054512
55,1316.152499183027
56,1321.0414573362264
57,2356.778445862044
58,1373.828363789138
59,1323.3812730980305
60,1295.3157165115217
61,1635.7804052055153
62,1614.7541921955644
63,1301.668732582656
64,1966.942573578183
65,1295.3157165115217
66,1320.4844910747302
67,1339.6296607610302
68,1657.191636226899
69,1476.6078048213815
70,1440.890392961749
71,1370.0962711357836
72,1295.1401050190664
73,1317.2998729056574
74,1290.0235369902923
75,1987.3332164556093
76,1516.686901791093
77,1400.050539918896
78,1289.5157921103416
79,2231.4417570952064
80,2081.0528287309367
81,1372.6407855017242
82,1272.59461592966
83,2103.0109226149884
84,1372.1942875278
85,2258.5079485205197
86,1290.843560476004
87,1921.5331868392848
88,1389.6167377841793
89,1594.023518018066
90,1363.0353245391361
91,1950.4904983070892
92,2010.2056748749478
93,2185.01368493221
94,1721.5927087827067
95,1287.1321621476686
96,1263.4320583890171
97,2546.7199729645813
98,1263.4320583890171
99,1805.5699633675479
