Itterations,Cost
0,3521.9033437429252
1,3261.5938163018036
2,3298.033293573107
3,3273.190518027292
4,3039.5680306610757
5,1680.758278481365
6,1738.3842717070147
7,2704.150343446156
8,2808.8538871941814
9,2617.7927097576885
10,1571.3056673409644
11,1677.4789317788945
12,1598.6039712050103
13,1762.237230180749
14,3166.8005870145003
15,1563.5258284387012
16,1571.843287977281
17,1626.82956435824
18,1566.2139036096703
19,2019.4084966811392
20,1744.1701244553262
21,1594.3540019119355
22,1613.2058417369678
23,2459.2169504743574
24,2533.553780185535
25,1551.6157071999748
26,2030.5594290160168
27,1495.4908314190268
28,1495.4908314190268
29,1453.4390037574326
30,1376.6767088093993
31,1362.1380455851795
32,1385.3243324818493
33,2804.2031294092303
34,1360.7795065888793
35,1364.752729125864
36,2051.6859853012747
37,1381.6858031491167
38,1370.3795316811497
39,3112.45836127881
40,2524.695120940948
41,1954.6589670205574
42,1344.5226052487722
43,1342.8345191758835
44,1400.9116956744465
45,1342.8345191758835
46,1548.6877682854201
47,1428.6723310105767
48,1426.2126650519292
49,1342.8345191758835
50,1362.962956952045
51,1380.385805300828
52,2885.885877129223
53,1339.8165597455852
54,1958.632920153278
55,1373.9197661395317
56,2380.0975744543894
57,1924.3395906624473
58,1502.9772726845817
59,1323.833002672673
60,1626.5604474860054
61,1323.833002672673
62,1624.00180132068
63,1432.5025663628312
64,1396.9141481137922
65,1436.4066677048686
66,1590.2125762147934
67,1334.062158885094
68,1759.227093077267
69,1961.3583560683592
70,1323.8330026726728
71,2212.982332844208
72,1339.8165597455852
73,2513.44960501133
74,1324.944169223971
75,1673.246348377464
76,2555.6282364053027
77,2703.506435915482
78,2717.2389946390576
79,1395.057144779839
80,1323.3998207939394
81,1802.5619942266712
82,1309.7068151321585
83,1335.364660581331
84,2620.9359137069114
85,1309.7068151321585
86,2279.422279965441
87,2147.575601002674
88,1358.1904070565347
89,1334.596188475887
90,1610.357639791505
91,1318.7586192231875
92,2681.5088001062763
93,1390.6493404293728
94,1349.135701260097
95,1511.8936174283087
96,1391.1556758182535
97,1390.8097349852844
98,1410.0108310582136
99,1319.9543375907342
