Itterations,Cost
0,264.1270768648759
1,264.1270768648759
2,264.1270768648759
3,264.1270768648759
4,264.1270768648759
5,264.12707686487596
6,299.4782270999897
7,264.1270768648759
8,260.64187634740495
9,249.0176310371951
10,264.1270768648759
11,264.1270768648759
12,297.2538641296686
13,262.056089909778
14,249.0176310371951
15,264.1270768648759
16,295.41029250859566
17,254.8110754214614
18,249.0176310371951
19,264.1270768648759
20,264.1270768648759
21,264.1270768648759
22,275.86232380099466
23,298.6384767191608
24,264.1270768648759
25,264.1270768648759
26,264.1270768648759
27,264.1270768648759
28,288.7625565403489
29,264.1270768648759
30,264.1270768648759
31,270.628801395121
32,299.55557932744426
33,256.20687917492796
34,260.58610999682116
35,264.01401643893223
36,298.7515371451044
37,264.1270768648759
38,249.01763103719503
39,264.1270768648759
40,285.97340748808017
41,264.1270768648759
42,280.0286837350098
43,285.97340748808017
44,264.1270768648759
45,264.1270768648759
46,308.8781094398785
47,264.1270768648759
48,256.20687917492796
49,264.1270768648759
50,264.1270768648759
51,285.97340748808017
52,264.1270768648759
53,250.4318445995682
54,249.0176310371951
55,277.8670567420637
56,264.1270768648759
57,264.1270768648759
58,264.1270768648759
59,264.1270768648759
60,264.1270768648759
61,264.1270768648759
62,264.1270768648759
63,289.3370197218931
64,271.58610999682116
65,295.9930265825186
66,264.1270768648759
67,264.1270768648759
68,289.3370197218931
69,271.2032645766652
70,264.1270768648759
71,284.55919392570706
72,255.51935556744013
73,264.1270768648759
74,264.1270768648759
75,264.1270768648759
76,268.40443842479993
77,264.1270768648759
78,264.1270768648759
79,260.58610999682116
80,264.1270768648759
81,288.6494961144053
82,264.1270768648759
83,298.1624388802377
84,264.1270768648759
85,264.1270768648759
86,249.01763103719503
87,264.1270768648759
88,301.64763939770876
89,277.8670567420637
90,264.1270768648759
91,264.1270768648759
92,275.8623238009946
93,264.1270768648759
94,299.55557932744426
95,264.1270768648759
96,311.05478532660777
97,269.78905101429206
98,264.1270768648759
99,279.56193787249015
