,instance,k,average best distance,average time
0,c202C16.txt,1,448.3941462878536,0.0
1,c202C16.txt,2,431.01239283355164,0.0
2,c202C16.txt,3,431.01239283355164,0.0
3,c202C16.txt,4,431.01239283355164,0.0
4,lc102.txt,1,950.4610698258405,3.0
5,lc102.txt,2,702.7152019553844,3.0
6,lc102.txt,3,781.4200116419581,3.0
7,lc102.txt,4,780.5670035954298,3.3333333333333335
8,lc108.txt,1,778.9240478339933,2.6666666666666665
9,lc108.txt,2,715.299595448109,3.0
10,lc108.txt,3,697.8224742333038,3.3333333333333335
11,lc108.txt,4,698.3049334931259,3.0
12,lc207.txt,1,683.0642190861009,11.666666666666666
13,lc207.txt,2,677.8539034221153,10.0
14,lc207.txt,3,759.1400393776589,10.0
15,lc207.txt,4,703.1742823778237,10.0
16,lr112.txt,1,1083.9394781754436,3.6666666666666665
17,lr112.txt,2,1072.1742834622248,3.3333333333333335
18,lr112.txt,3,1012.3071523734418,3.6666666666666665
19,lr112.txt,4,1048.4426629503305,4.0
20,lr205.txt,1,1255.3798909929028,11.333333333333334
21,lr205.txt,2,1296.7904177491378,11.0
22,lr205.txt,3,1324.2932291996146,10.666666666666666
23,lr205.txt,4,1340.1147321715239,10.666666666666666
24,lrc104.txt,1,1196.4040327219811,3.3333333333333335
25,lrc104.txt,2,1219.7784928180884,4.333333333333333
26,lrc104.txt,3,1170.9699079069853,4.666666666666667
27,lrc104.txt,4,1189.9530114686092,3.6666666666666665
28,lrc206.txt,1,1540.5672567998868,8.666666666666666
29,lrc206.txt,2,1486.578303451695,11.0
30,lrc206.txt,3,1535.9057325043036,10.666666666666666
31,lrc206.txt,4,1489.314823660262,10.0
32,r102C18.txt,1,264.1270768648759,0.0
33,r102C18.txt,2,250.4318445995682,0.0
34,r102C18.txt,3,250.4318445995682,0.0
35,r102C18.txt,4,250.4318445995682,0.0
36,rc204C16.txt,1,348.6046524899242,0.0
37,rc204C16.txt,2,348.6046524899242,0.0
38,rc204C16.txt,3,348.6046524899242,0.0
39,rc204C16.txt,4,348.6046524899242,0.0
