,instance,alpha,average best distance
0,lc108.txt,0.0,659.3563280046174
1,lc108.txt,0.1,624.3713405314049
2,lc108.txt,0.25,645.7014430221129
3,lc108.txt,0.5,691.4652335701348
4,lc108.txt,0.75,658.1155022408974
5,lc108.txt,1.0,681.6896001495825
6,lr112.txt,0.0,1000.7260197829485
7,lr112.txt,0.1,978.8615513324485
8,lr112.txt,0.25,1009.7249681312028
9,lr112.txt,0.5,982.1757679964776
10,lr112.txt,0.75,1041.5534365174997
11,lr112.txt,1.0,1029.3011045296987
12,lrc206.txt,0.0,1334.0830054167109
13,lrc206.txt,0.1,1401.7725377887841
14,lrc206.txt,0.25,1323.3084833624414
15,lrc206.txt,0.5,1355.3803009614223
16,lrc206.txt,0.75,1307.7941290131532
17,lrc206.txt,1.0,1274.2470644118907
18,lr205.txt,0.0,1307.7896867643756
19,lr205.txt,0.1,1246.2531026988395
20,lr205.txt,0.25,1183.8283864366858
21,lr205.txt,0.5,1247.5039488315426
22,lr205.txt,0.75,1223.0361519032244
23,lr205.txt,1.0,1283.8513676705527
24,r102C18.txt,0.0,250.43184459956817
25,r102C18.txt,0.1,250.4318445995682
26,r102C18.txt,0.25,249.0176310371951
27,r102C18.txt,0.5,249.01763103719503
28,r102C18.txt,0.75,256.206879174928
29,r102C18.txt,1.0,256.206879174928
30,lrc104.txt,0.0,1156.9874999252645
31,lrc104.txt,0.1,1188.0127288005945
32,lrc104.txt,0.25,1185.3194885836301
33,lrc104.txt,0.5,1182.3840147388519
34,lrc104.txt,0.75,1183.4664929317248
35,lrc104.txt,1.0,1159.7886371352452
36,rc204C16.txt,0.0,298.4780556745738
37,rc204C16.txt,0.1,348.6046524899242
38,rc204C16.txt,0.25,348.6046524899242
39,rc204C16.txt,0.5,298.4780556745738
40,rc204C16.txt,0.75,298.4780556745738
41,rc204C16.txt,1.0,298.4780556745738
42,lc207.txt,0.0,635.0764146289177
43,lc207.txt,0.1,658.9855170566298
44,lc207.txt,0.25,648.3506779702395
45,lc207.txt,0.5,630.0301955916636
46,lc207.txt,0.75,640.6077937070552
47,lc207.txt,1.0,675.4769744319208
48,c202C16.txt,0.0,431.01239283355164
49,c202C16.txt,0.1,431.01239283355164
50,c202C16.txt,0.25,402.34849458287033
51,c202C16.txt,0.5,431.01239283355164
52,c202C16.txt,0.75,431.01239283355164
53,c202C16.txt,1.0,431.01239283355164
54,lc102.txt,0.0,660.7896938034894
55,lc102.txt,0.1,647.4689395865577
56,lc102.txt,0.25,693.5513220091849
57,lc102.txt,0.5,688.9558230567561
58,lc102.txt,0.75,693.5209824176485
59,lc102.txt,1.0,646.9463828736735
