,instance,p,average best distance
0,c202C16.txt,1,431.01239283355164
1,c202C16.txt,3,431.01239283355164
2,c202C16.txt,5,431.01239283355164
3,c202C16.txt,10,431.01239283355164
4,lc102.txt,1,692.7848010402781
5,lc102.txt,3,724.3232370212995
6,lc102.txt,5,696.9513824342912
7,lc102.txt,10,693.0111859643725
8,lc108.txt,1,651.7624049854779
9,lc108.txt,3,651.3087355976991
10,lc108.txt,5,643.6993061612941
11,lc108.txt,10,650.3210393214082
12,lc207.txt,1,677.9575790989716
13,lc207.txt,3,649.6021161300392
14,lc207.txt,5,656.735109959975
15,lc207.txt,10,663.9705911844012
16,lr112.txt,1,1005.9003336073824
17,lr112.txt,3,1012.3040659645732
18,lr112.txt,5,968.920149267469
19,lr112.txt,10,970.6888878757151
20,lr205.txt,1,1173.2824174991918
21,lr205.txt,3,1149.752284959561
22,lr205.txt,5,1162.480999135197
23,lr205.txt,10,1193.8255818333632
24,lrc104.txt,1,1147.1875011862248
25,lrc104.txt,3,1135.9911747531444
26,lrc104.txt,5,1138.2118045602917
27,lrc104.txt,10,1107.9639298879674
28,lrc206.txt,1,1343.709956311656
29,lrc206.txt,3,1268.4965370516743
30,lrc206.txt,5,1253.2739091775843
31,lrc206.txt,10,1271.4740104754762
32,r102C18.txt,1,249.0176310371951
33,r102C18.txt,3,249.0176310371951
34,r102C18.txt,5,264.1270768648759
35,r102C18.txt,10,264.1270768648759
36,rc204C16.txt,1,348.6046524899242
37,rc204C16.txt,3,348.6046524899242
38,rc204C16.txt,5,348.6046524899242
39,rc204C16.txt,10,348.6046524899242
