Iter,Iter Cost,Cost Best
0,543.601987,505.8599667
1,507.5611327,505.8599667
2,443.2674388,443.2674388
3,470.0933781,443.2674388
4,443.2674388,443.2674388
5,475.5755895,443.2674388
6,443.2674388,443.2674388
7,480.869622,443.2674388
8,431.0123928,431.0123928
9,480.869622,431.0123928
10,431.0123928,431.0123928
11,575.6677765,431.0123928
12,431.0123928,431.0123928
13,431.0123928,431.0123928
14,480.869622,431.0123928
15,431.0123928,431.0123928
16,473.090902,431.0123928
17,435.1592426,431.0123928
18,431.0123928,431.0123928
19,493.9300979,431.0123928
20,527.294506,431.0123928
21,431.0123928,431.0123928
22,495.8462967,431.0123928
23,480.869622,431.0123928
24,480.869622,431.0123928
25,435.1592426,431.0123928
26,431.0123928,431.0123928
27,431.0123928,431.0123928
28,441.0083642,431.0123928
29,431.0123928,431.0123928
30,435.1592426,431.0123928
31,431.0123928,431.0123928
32,431.0123928,431.0123928
33,431.0123928,431.0123928
34,604.8616349,431.0123928
35,480.869622,431.0123928
36,431.0123928,431.0123928
37,480.869622,431.0123928
38,431.0123928,431.0123928
39,431.0123928,431.0123928
40,431.0123928,431.0123928
41,431.0123928,431.0123928
42,431.0123928,431.0123928
43,431.0123928,431.0123928
44,575.1702407,431.0123928
45,431.0123928,431.0123928
46,431.0123928,431.0123928
47,480.869622,431.0123928
48,431.0123928,431.0123928
49,431.0123928,431.0123928
50,480.869622,431.0123928
51,431.0123928,431.0123928
52,480.869622,431.0123928
53,480.869622,431.0123928
54,431.0123928,431.0123928
55,480.869622,431.0123928
56,431.0123928,431.0123928
57,431.0123928,431.0123928
58,480.869622,431.0123928
59,431.0123928,431.0123928
60,431.0123928,431.0123928
61,480.869622,431.0123928
62,431.0123928,431.0123928
63,480.869622,431.0123928
64,431.0123928,431.0123928
65,431.0123928,431.0123928
66,431.0123928,431.0123928
67,514.0900083,431.0123928
68,480.869622,431.0123928
69,431.0123928,431.0123928
70,431.0123928,431.0123928
71,431.0123928,431.0123928
72,431.0123928,431.0123928
73,431.0123928,431.0123928
74,435.1592426,431.0123928
75,431.0123928,431.0123928
76,431.0123928,431.0123928
77,480.869622,431.0123928
78,431.0123928,431.0123928
79,431.0123928,431.0123928
80,480.869622,431.0123928
81,431.0123928,431.0123928
82,431.0123928,431.0123928
83,431.0123928,431.0123928
84,480.869622,431.0123928
85,431.0123928,431.0123928
86,431.0123928,431.0123928
87,431.0123928,431.0123928
88,431.0123928,431.0123928
89,431.0123928,431.0123928
90,441.0083642,431.0123928
91,431.0123928,431.0123928
92,431.0123928,431.0123928
93,431.0123928,431.0123928
94,431.0123928,431.0123928
95,431.0123928,431.0123928
96,431.0123928,431.0123928
97,431.0123928,431.0123928
98,431.0123928,431.0123928
99,618.349405,431.0123928
100,468.6003633,431.0123928
101,431.0123928,431.0123928
102,431.0123928,431.0123928
103,623.921525,431.0123928
104,431.0123928,431.0123928
105,434.104441,431.0123928
106,431.0123928,431.0123928
107,431.0123928,431.0123928
108,480.869622,431.0123928
109,506.7386803,431.0123928
110,443.9382856,431.0123928
111,431.0123928,431.0123928
112,480.869622,431.0123928
113,480.869622,431.0123928
114,497.8569586,431.0123928
115,521.7739419,431.0123928
116,431.0123928,431.0123928
117,431.0123928,431.0123928
118,431.0123928,431.0123928
119,431.0123928,431.0123928
120,545.1378346,431.0123928
121,431.0123928,431.0123928
122,431.0123928,431.0123928
123,431.0123928,431.0123928
124,434.104441,431.0123928
125,431.0123928,431.0123928
126,431.0123928,431.0123928
127,480.869622,431.0123928
128,443.9382856,431.0123928
129,434.104441,431.0123928
130,431.0123928,431.0123928
131,480.869622,431.0123928
132,431.0123928,431.0123928
133,489.6550928,431.0123928
134,431.0123928,431.0123928
135,431.0123928,431.0123928
136,480.869622,431.0123928
137,480.869622,431.0123928
138,431.0123928,431.0123928
139,480.869622,431.0123928
140,431.0123928,431.0123928
141,431.0123928,431.0123928
142,431.0123928,431.0123928
143,434.104441,431.0123928
144,546.248692,431.0123928
145,431.0123928,431.0123928
146,549.8840146,431.0123928
147,431.0123928,431.0123928
148,431.0123928,431.0123928
149,443.9382856,431.0123928
