,instance,minNBH,average best distance
0,lc108.txt,0,704.0150516267747
1,lc108.txt,5,691.3810954311252
2,lc108.txt,10,622.8312035462169
3,lc108.txt,15,680.6272327903608
4,lc108.txt,20,656.5101305918342
5,lc108.txt,25,676.5653766841683
6,lc108.txt,30,677.6706617162741
7,lc108.txt,35,674.4327845700429
8,lc108.txt,40,720.4226007610139
9,lr112.txt,0,1013.0917966611868
10,lr112.txt,5,1022.1653966509772
11,lr112.txt,10,1049.434211673855
12,lr112.txt,15,1049.6493327535798
13,lr112.txt,20,1042.4197321350314
14,lr112.txt,25,1044.3273359897812
15,lr112.txt,30,1051.2845270638738
16,lr112.txt,35,1032.2384311641351
17,lr112.txt,40,1047.4244085255723
18,lrc206.txt,0,1346.8245372260344
19,lrc206.txt,5,1331.4965071750617
20,lrc206.txt,10,1316.3928672008492
21,lrc206.txt,15,1275.048961878311
22,lrc206.txt,20,1298.5403987424902
23,lrc206.txt,25,1310.964928875835
24,lrc206.txt,30,1352.8288149677705
25,lrc206.txt,35,1360.7899716630563
26,lrc206.txt,40,1334.6279501018264
27,lr205.txt,0,1263.90761361863
28,lr205.txt,5,1198.9557917017733
29,lr205.txt,10,1182.0885953976037
30,lr205.txt,15,1229.7702498240649
31,lr205.txt,20,1261.3931194594347
32,lr205.txt,25,1260.3182265426435
33,lr205.txt,30,1276.4708227417577
34,lr205.txt,35,1249.5997903798493
35,lr205.txt,40,1207.8047591446796
36,r102C18.txt,0,249.01763103719503
37,r102C18.txt,5,249.01763103719506
38,r102C18.txt,10,249.01763103719503
39,r102C18.txt,15,249.0176310371951
40,r102C18.txt,20,249.01763103719506
41,r102C18.txt,25,254.79266561255486
42,r102C18.txt,30,249.01763103719503
43,r102C18.txt,35,249.01763103719506
44,r102C18.txt,40,249.01763103719503
45,lrc104.txt,0,1206.650528235443
46,lrc104.txt,5,1174.3599754073127
47,lrc104.txt,10,1156.6751657615232
48,lrc104.txt,15,1111.0083049438852
49,lrc104.txt,20,1125.3703040373528
50,lrc104.txt,25,1142.9660295440801
51,lrc104.txt,30,1137.987339369527
52,lrc104.txt,35,1138.0245638109873
53,lrc104.txt,40,1165.1480536983559
54,rc204C16.txt,0,298.4780556745738
55,rc204C16.txt,5,298.4780556745738
56,rc204C16.txt,10,298.4780556745738
57,rc204C16.txt,15,317.0326094452163
58,rc204C16.txt,20,317.0326094452163
59,rc204C16.txt,25,298.4780556745738
60,rc204C16.txt,30,298.4780556745738
61,rc204C16.txt,35,298.4780556745738
62,rc204C16.txt,40,298.4780556745738
63,lc207.txt,0,661.4018332046494
64,lc207.txt,5,644.6410659003116
65,lc207.txt,10,657.1492329424239
66,lc207.txt,15,653.396464639716
67,lc207.txt,20,676.639056931168
68,lc207.txt,25,670.7588904542589
69,lc207.txt,30,633.4442157339067
70,lc207.txt,35,674.8975283950372
71,lc207.txt,40,666.374761845944
72,c202C16.txt,0,417.7328530448268
73,c202C16.txt,5,431.01239283355164
74,c202C16.txt,10,431.01239283355164
75,c202C16.txt,15,417.7328530448268
76,c202C16.txt,20,417.7328530448268
77,c202C16.txt,25,431.01239283355164
78,c202C16.txt,30,431.01239283355164
79,c202C16.txt,35,411.11477800396284
80,c202C16.txt,40,417.7328530448268
81,lc102.txt,0,671.3356547579189
82,lc102.txt,5,623.3836074789774
83,lc102.txt,10,671.1725771709238
84,lc102.txt,15,661.3225258655955
85,lc102.txt,20,653.8832597543675
86,lc102.txt,25,657.0569585798097
87,lc102.txt,30,680.5854990710965
88,lc102.txt,35,711.9101589986486
89,lc102.txt,40,661.1778983163802
